Rodada 1,,,,Acertos,,Rodada 2,,,,Acertos,,Rodada 3,,,,Acertos,,Classificação Real,Pontos,PJ,V,E,D,GM,GS,Saldo de Gols
Ceará,0,2,Mirassol,TRUE,,Fortaleza,3,1,Bragantino,TRUE,,Mirassol,3,2,Vasco,TRUE,,,,,,,,,,
Corinthians,0,0,Cruzeiro,TRUE,,Mirassol,1,1,Vitória,TRUE,,Fluminense,1,0,Grêmio,TRUE,,,,,,,,,,
Santos,1,2,Internacional,TRUE,,Sport,2,2,Santos,TRUE,,Botafogo,0,2,Cruzeiro,TRUE,,,,,,,,,,
Bragantino,1,2,Flamengo,TRUE,,Palmeiras,1,0,Grêmio,TRUE,,Corinthians,1,1,Fortaleza,TRUE,,,,,,,,,,
Vitória,2,2,Sport,TRUE,,Cruzeiro,1,2,Ceará,TRUE,,Atlético MG,2,1,Bragantino,TRUE,,,,,,,,,,
Juventude,0,1,São Paulo,TRUE,,São Paulo,3,1,Fluminense,TRUE,,Ceará,1,1,Flamengo,TRUE,,,,,,,,,,
Grêmio,1,1,Botafogo,TRUE,,Bahia,3,0,Juventude,TRUE,,Vitória,2,2,Palmeiras,TRUE,,,,,,,,,,
Vasco,3,1,Bahia,TRUE,,Internacional,2,2,Vasco,TRUE,,Internacional,1,2,São Paulo,TRUE,,,,,,,,,,
Atlético MG,3,3,Fortaleza,TRUE,,Flamengo,1,0,Atlético MG,TRUE,,Santos,3,1,Juventude,TRUE,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 19,,,,Acertos,,Rodada 20,,,,Acertos,,Rodada 21,,,,Acertos,,,,,,,,,,
Flamengo,2,1,Mirassol,TRUE,,Fluminense,2,1,Fortaleza,TRUE,,Bragantino,4,2,Fluminense,TRUE,,,,,,,,,,
São Paulo,2,0,Vitória,TRUE,,Ceará,1,0,Bragantino,TRUE,,Cruzeiro,2,1,Internacional,TRUE,,,,,,,,,,
Bragantino,1,3,Internacional,TRUE,,Vitória,2,2,Juventude,TRUE,,Grêmio,0,0,Ceará,TRUE,,,,,,,,,,
Fortaleza,0,5,Botafogo,TRUE,,Sport,2,2,São Paulo,TRUE,,Vasco,2,3,Corinthians,TRUE,,,,,,,,,,
Bahia,3,3,Fluminense,TRUE,,Corinthians,1,2,Bahia,TRUE,,Bahia,2,0,Santos,TRUE,,,,,,,,,,
Vasco,1,1,Atlético MG,TRUE,,Santos,0,6,Vasco,TRUE,,Fortaleza,0,1,Mirassol,TRUE,,,,,,,,,,
Palmeiras,2,1,Ceará,TRUE,,Atlético MG,1,3,Grêmio,TRUE,,Juventude,1,3,Botafogo,TRUE,,,,,,,,,,
Cruzeiro,1,2,Santos,TRUE,,Internacional,1,3,Flamengo,TRUE,,São Paulo,2,0,Atlético MG,TRUE,,,,,,,,,,
Grêmio,0,1,Sport,TRUE,,Botafogo,0,1,Palmeiras,TRUE,,Palmeiras,3,0,Sport,TRUE,,,,,,,,,,
Juventude,2,1,Corinthians,TRUE,,Mirassol,1,1,Cruzeiro,TRUE,,Flamengo,8,0,Vitória,TRUE,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 22,,,,Acertos,,Rodada 23,,,,Acertos,,Rodada 24,,,,Acertos,,,,,,,,,,
Ceará,0,1,Juventude,TRUE,,Grêmio,0,1,Mirassol,TRUE,,Vitória,0,1,Fluminense,TRUE,,,,,,,,,,
Botafogo,4,1,Bragantino,TRUE,,Fortaleza,2,0,Vitória,TRUE,,Botafogo,1,0,Atlético MG,TRUE,,,,,,,,,,
Cruzeiro,1,0,São Paulo,TRUE,,Palmeiras,4,1,Internacional,TRUE,,Ceará,1,1,Bahia,TRUE,,,,,,,,,,
Flamengo,1,1,Grêmio,TRUE,,Fluminense,0,1,Corinthians,TRUE,,Palmeiras,4,1,Fortaleza,TRUE,,,,,,,,,,
Santos,0,0,Fluminense,TRUE,,Bragantino,1,1,Sport,TRUE,,Mirassol,2,0,Juventude,TRUE,,,,,,,,,,
Corinthians,1,1,Palmeiras,TRUE,,Atlético MG,1,1,Santos,TRUE,,Flamengo,1,1,Vasco,TRUE,,,,,,,,,,
Mirassol,5,1,Bahia,TRUE,,Juventude,0,2,Flamengo,TRUE,,Internacional,2,3,Grêmio,TRUE,,,,,,,,,,
Vitória,1,0,Atlético MG,TRUE,,São Paulo,1,0,Botafogo,TRUE,,Sport,1,0,Corinthians,TRUE,,,,,,,,,,
Internacional,2,1,Fortaleza,TRUE,,Vasco,2,2,Ceará,TRUE,,Santos,1,0,São Paulo,TRUE,,,,,,,,,,
Sport,2,3,Vasco,TRUE,,Bahia,1,2,Cruzeiro,TRUE,,Cruzeiro,2,1,Bragantino,TRUE,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 25,,,,Acertos,,Rodada 26,,,,Acertos,,Rodada 27,,,,Acertos,,,,,,,,,,
Fortaleza,1,0,Sport,TRUE,,Atlético MG,0,0,Juventude,TRUE,,Fluminense,3,0,Atlético MG,TRUE,,,,,,,,,,
Vasco,2,0,Cruzeiro,TRUE,,Palmeiras,3,0,Vasco,TRUE,,Bragantino,1,0,Grêmio,TRUE,,,,,,,,,,
Juventude,1,1,Internacional,TRUE,,Mirassol,1,1,Bragantino,TRUE,,Internacional,2,0,Botafogo,TRUE,,,,,,,,,,
Atlético MG,1,0,Mirassol,TRUE,,Sport,2,2,Fluminense,TRUE,,Corinthians,3,0,Mirassol,TRUE,,,,,,,,,,
Grêmio,3,1,Vitória,TRUE,,Internacional,1,1,Corinthians,TRUE,,Vasco,4,3,Vitória,TRUE,,,,,,,,,,
Fluminense,2,0,Botafogo,TRUE,,Botafogo,2,1,Bahia,TRUE,,São Paulo,2,3,Palmeiras,TRUE,,,,,,,,,,
Bahia,1,0,Palmeiras,TRUE,,Santos,1,1,Grêmio,TRUE,,Bahia,1,0,Flamengo,TRUE,,,,,,,,,,
Bragantino,2,2,Santos,TRUE,,Vitória,1,0,Ceará,TRUE,,Juventude,1,2,Fortaleza,TRUE,,,,,,,,,,
Corinthians,1,2,Flamengo,TRUE,,Fortaleza,0,2,São Paulo,TRUE,,Cruzeiro,1,1,Sport,TRUE,,,,,,,,,,
São Paulo,0,1,Ceará,TRUE,,Flamengo,0,0,Cruzeiro,TRUE,,Ceará,3,0,Santos,TRUE,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 28,,,,Acertos,,Rodada 29,,,,Acertos,,Rodada 30,,,,Acertos,,,,,,,,,,
Palmeiras,5,1,Bragantino,TRUE,,Corinthians,1,0,Atlético MG,TRUE,,Atlético MG,1,0,Ceará,TRUE,,,,,,,,,,
Botafogo,0,3,Flamengo,TRUE,,Cruzeiro,1,0,Fortaleza,TRUE,,Vitória,0,1,Corinthians,TRUE,,,,,,,,,,
Mirassol,3,1,Internacional,TRUE,,Flamengo,3,2,Palmeiras,TRUE,,Fluminense,1,0,Internacional,TRUE,,,,,,,,,,
Sport,1,1,Ceará,TRUE,,Mirassol,3,0,São Paulo,TRUE,,Sport,1,2,Mirassol,TRUE,,,,,,,,,,
Santos,3,1,Corinthians,TRUE,,Internacional,2,0,Sport,TRUE,,Fortaleza,1,0,Flamengo,TRUE,,,,,,,,,,
Atlético MG,1,1,Cruzeiro,TRUE,,Ceará,0,2,Botafogo,TRUE,,São Paulo,2,0,Bahia,TRUE,,,,,,,,,,
Fortaleza,0,2,Vasco,TRUE,,Bahia,4,0,Grêmio,TRUE,,Botafogo,2,2,Santos,TRUE,,,,,,,,,,
Grêmio,2,0,São Paulo,TRUE,,Juventude,1,0,Bragantino,TRUE,,Grêmio,3,1,Juventude,TRUE,,,,,,,,,,
Fluminense,1,0,Juventude,TRUE,,Vasco,2,0,Fluminense,TRUE,,Bragantino,0,3,Vasco,TRUE,,,,,,,,,,
Vitória,2,1,Bahia,TRUE,,Santos,0,1,Vitória,TRUE,,Palmeiras,0,0,Cruzeiro,TRUE,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 31,,,,Acertos,,Rodada 32,,,,Acertos,,Rodada 33,,,,Acertos,,,,,,,,,,
Santos,1,1,Fortaleza,TRUE,,Bragantino,2,1,Corinthians,TRUE,,Sport,2,4,Atlético MG,TRUE,,,,,,,,,,
Cruzeiro,3,1,Vitória,TRUE,,Vitória,1,0,Internacional,TRUE,,Vasco,1,3,Juventude,TRUE,,,,,,,,,,
Mirassol,0,0,Botafogo,TRUE,,Sport,0,2,Juventude,TRUE,,Internacional,2,2,Bahia,TRUE,,,,,,,,,,
Flamengo,3,0,Sport,TRUE,,Botafogo,3,0,Vasco,TRUE,,São Paulo,0,1,Bragantino,TRUE,,,,,,,,,,
Corinthians,2,0,Grêmio,TRUE,,Atlético MG,3,0,Bahia,TRUE,,Corinthians,0,1,Ceará,TRUE,,,,,,,,,,
Bahia,2,1,Bragantino,TRUE,,Grêmio,0,1,Cruzeiro,TRUE,,Cruzeiro,0,0,Fluminense,TRUE,,,,,,,,,,
Ceará,2,0,Fluminense,TRUE,,São Paulo,2,2,Flamengo,TRUE,,Vitória,0,0,Botafogo,TRUE,,,,,,,,,,
Internacional,0,0,Atlético MG,TRUE,,Fluminense,1,0,Mirassol,TRUE,,Flamengo,3,2,Santos,TRUE,,,,,,,,,,
Juventude,0,2,Palmeiras,TRUE,,Ceará,1,1,Fortaleza,TRUE,,Mirassol,2,1,Palmeiras,TRUE,,,,,,,,,,
Vasco,0,2,São Paulo,TRUE,,Palmeiras,2,0,Santos,TRUE,,Fortaleza,2,2,Grêmio,TRUE,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 34,,,,Acertos,,Rodada 35,,,,Acertos,,Rodada 36,,,,Acertos,,,,,,,,,,
Botafogo,3,2,Sport,TRUE,,Botafogo,3,2,Grêmio,TRUE,,Atlético MG,1,1,Flamengo,TRUE,,,,,,,,,,
Fluminense,2,1,Flamengo,TRUE,,Flamengo,3,0,Bragantino,TRUE,,Grêmio,3,2,Palmeiras,TRUE,,,,,,,,,,
Grêmio,2,0,Vasco,TRUE,,Palmeiras,0,0,Fluminense,TRUE,,Bragantino,0,1,Fortaleza,TRUE,,,,,,,,,,
Santos,1,1,Mirassol,TRUE,,São Paulo,2,1,Juventude,TRUE,,Fluminense,6,0,São Paulo,TRUE,,,,,,,,,,
