Rodada 1,,,,Acertos,,Rodada 2,,,,Acertos,,Rodada 3,,,,Acertos,,Classificação Roger,Pontos,PJ,V,E,D,GM,GS,Saldo de Gols
Bahia,1,3,Fluminense,0,,Corinthians,2,1,Bahia,0,,Bahia,2,0,Santos,5,,,,,,,,,,
Vasco,1,0,Atlético MG,0,,Santos,2,1,Vasco,0,,Fortaleza,1,1,Mirassol,0,,,,,,,,,,
Palmeiras,1,0,Ceará,4,,Atlético MG,2,1,Grêmio,0,,Juventude,2,3,Botafogo,3,,,,,,,,,,
Cruzeiro,2,1,Santos,0,,Internacional,1,1,Flamengo,0,,São Paulo,2,0,Atlético MG,5,,,,,,,,,,
Grêmio,1,0,Sport,0,,Botafogo,0,1,Palmeiras,5,,Palmeiras,3,0,Sport,5,,,,,,,,,,
Juventude,0,2,Corinthians,0,,Mirassol,2,1,Cruzeiro,0,,Flamengo,3,0,Vitória,3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 22,,,,Acertos,,Rodada 23,,,,Acertos,,Rodada 24,,,,Acertos,,,,,,,,,,
Ceará,1,0,Juventude,0,,Grêmio,1,1,Mirassol,0,,Vitória,0,1,Fluminense,5,,,,,,,,,,
Botafogo,2,1,Bragantino,3,,Fortaleza,1,0,Vitória,3,,Botafogo,2,0,Atlético MG,3,,,,,,,,,,
Cruzeiro,3,1,São Paulo,3,,Palmeiras,2,1,Internacional,3,,Ceará,1,1,Bahia,5,,,,,,,,,,
Flamengo,3,1,Grêmio,0,,Fluminense,2,0,Corinthians,0,,Palmeiras,2,0,Fortaleza,3,,,,,,,,,,
Santos,1,3,Fluminense,0,,Bragantino,1,0,Sport,0,,Mirassol,3,1,Juventude,4,,,,,,,,,,
Corinthians,1,2,Palmeiras,0,,Atlético MG,2,0,Santos,0,,Flamengo,2,0,Vasco,0,,,,,,,,,,
Mirassol,2,0,Bahia,3,,Juventude,0,2,Flamengo,5,,Internacional,1,0,Grêmio,0,,,,,,,,,,
Vitória,1,1,Atlético MG,0,,São Paulo,1,1,Botafogo,0,,Sport,1,2,Corinthians,0,,,,,,,,,,
Internacional,3,1,Fortaleza,3,,Vasco,1,0,Ceará,0,,Santos,1,0,São Paulo,5,,,,,,,,,,
Sport,1,2,Vasco,4,,Bahia,1,2,Cruzeiro,5,,Cruzeiro,2,1,Bragantino,5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 25,,,,Acertos,,Rodada 26,,,,Acertos,,Rodada 27,,,,Acertos,,,,,,,,,,
Fortaleza,2,1,Sport,4,,Atlético MG,1,0,Juventude,0,,Fluminense,2,1,Atlético MG,3,,,,,,,,,,
Vasco,0,1,Cruzeiro,0,,Palmeiras,2,1,Vasco,3,,Bragantino,1,1,Grêmio,0,,,,,,,,,,
Juventude,1,1,Internacional,5,,Mirassol,1,0,Bragantino,0,,Internacional,1,3,Botafogo,0,,,,,,,,,,
Atlético MG,1,1,Mirassol,0,,Sport,0,2,Fluminense,0,,Corinthians,2,1,Mirassol,3,,,,,,,,,,
Grêmio,2,0,Vitória,4,,Internacional,1,2,Corinthians,0,,Vasco,2,0,Vitória,3,,,,,,,,,,
Fluminense,2,1,Botafogo,3,,Botafogo,1,0,Bahia,4,,São Paulo,1,3,Palmeiras,3,,,,,,,,,,
Bahia,1,3,Palmeiras,0,,Santos,1,0,Grêmio,0,,Bahia,0,2,Flamengo,0,,,,,,,,,,
Bragantino,1,0,Santos,0,,Vitória,1,2,Ceará,0,,Juventude,1,0,Fortaleza,0,,,,,,,,,,
Corinthians,2,3,Flamengo,4,,Fortaleza,2,2,São Paulo,0,,Cruzeiro,3,0,Sport,0,,,,,,,,,,
São Paulo,2,0,Ceará,0,,Flamengo,1,0,Cruzeiro,0,,Ceará,1,0,Santos,3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 28,,,,Acertos,,Rodada 29,,,,Acertos,,Rodada 30,,,,Acertos,,,,,,,,,,
Palmeiras,2,0,Bragantino,3,,Corinthians,1,0,Atlético MG,5,,Atlético MG,2,0,Ceará,3,,,,,,,,,,
Botafogo,1,3,Flamengo,3,,Cruzeiro,2,1,Fortaleza,4,,Vitória,0,1,Corinthians,5,,,,,,,,,,
Mirassol,2,1,Internacional,3,,Flamengo,1,1,Palmeiras,0,,Fluminense,2,1,Internacional,4,,,,,,,,,,
Sport,0,0,Ceará,3,,Mirassol,2,1,São Paulo,3,,Sport,0,2,Mirassol,3,,,,,,,,,,
Santos,1,2,Corinthians,0,,Internacional,1,0,Sport,3,,Fortaleza,0,1,Flamengo,0,,,,,,,,,,
Atlético MG,0,1,Cruzeiro,0,,Ceará,1,1,Botafogo,0,,São Paulo,1,0,Bahia,3,,,,,,,,,,
Fortaleza,0,2,Vasco,5,,Bahia,2,1,Grêmio,3,,Botafogo,2,1,Santos,0,,,,,,,,,,
Grêmio,0,0,São Paulo,0,,Juventude,0,1,Bragantino,0,,Grêmio,2,1,Juventude,3,,,,,,,,,,
Fluminense,2,0,Juventude,3,,Vasco,1,3,Fluminense,0,,Bragantino,1,2,Vasco,3,,,,,,,,,,
