Rodada 1,,,,Acertos,,Rodada 2,,,,Acertos,,Rodada 3,,,,Acertos,,Classificação Paulo,Pontos,PJ,V,E,D,GM,GS,Saldo de Gols
Atlético MG,2,1,Cruzeiro,0,,Ceará,1,2,Botafogo,3,,São Paulo,1,1,Bahia,0,,,,,,,,,,
Fortaleza,3,1,Vasco,0,,Bahia,3,1,Grêmio,3,,Botafogo,1,1,Santos,3,,,,,,,,,,
Grêmio,0,2,São Paulo,0,,Juventude,1,0,Bragantino,5,,Grêmio,3,1,Juventude,5,,,,,,,,,,
Fluminense,2,1,Juventude,4,,Vasco,1,1,Fluminense,0,,Bragantino,3,1,Vasco,0,,,,,,,,,,
Vitória,1,2,Bahia,0,,Santos,2,0,Vitória,0,,Palmeiras,2,3,Cruzeiro,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 31,,,,Acertos,,Rodada 32,,,,Acertos,,Rodada 33,,,,Acertos,,,,,,,,,,
Santos,1,1,Fortaleza,5,,Bragantino,1,0,Corinthians,4,,Sport,1,0,Atlético MG,0,,,,,,,,,,
Cruzeiro,3,0,Vitória,3,,Vitória,1,0,Internacional,4,,Vasco,1,1,Juventude,0,,,,,,,,,,
Mirassol,2,1,Botafogo,0,,Sport,0,0,Juventude,0,,Internacional,1,3,Bahia,0,,,,,,,,,,
Flamengo,4,0,Sport,3,,Botafogo,2,1,Vasco,3,,São Paulo,2,0,Bragantino,0,,,,,,,,,,
Corinthians,0,1,Grêmio,0,,Atlético MG,1,2,Bahia,0,,Corinthians,3,1,Ceará,0,,,,,,,,,,
Bahia,2,0,Bragantino,3,,Grêmio,1,2,Cruzeiro,4,,Cruzeiro,2,1,Fluminense,0,,,,,,,,,,
Ceará,1,1,Fluminense,0,,São Paulo,1,3,Flamengo,0,,Vitória,0,0,Botafogo,5,,,,,,,,,,
Internacional,1,2,Atlético MG,0,,Fluminense,2,0,Mirassol,3,,Flamengo,3,1,Santos,3,,,,,,,,,,
Juventude,0,2,Palmeiras,5,,Ceará,2,1,Fortaleza,0,,Mirassol,2,1,Palmeiras,5,,,,,,,,,,
Vasco,2,1,São Paulo,0,,Palmeiras,2,2,Santos,0,,Fortaleza,2,1,Grêmio,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 34,,,,Acertos,,Rodada 35,,,,Acertos,,Rodada 36,,,,Acertos,,,,,,,,,,
Botafogo,3,0,Sport,3,,Botafogo,2,1,Grêmio,4,,Atlético MG,0,4,Flamengo,0,,,,,,,,,,
Fluminense,1,3,Flamengo,0,,Flamengo,2,1,Bragantino,3,,Grêmio,2,0,Palmeiras,3,,,,,,,,,,
Grêmio,1,1,Vasco,0,,Palmeiras,2,1,Fluminense,0,,Bragantino,2,1,Fortaleza,0,,,,,,,,,,
Santos,2,0,Mirassol,0,,São Paulo,3,0,Juventude,3,,Fluminense,2,1,São Paulo,3,,,,,,,,,,
