Rodada 1,,,,Acertos,,Rodada 2,,,,Acertos,,Rodada 3,,,,Acertos,,Classificação Willian,Pontos,PJ,V,E,D,GM,GS,Saldo de Gols
Vasco,1,1,Bahia,0,,Internacional,2,1,Vasco,0,,Internacional,1,1,São Paulo,0,,,,,,,,,,
Atlético MG,2,0,Fortaleza,0,,Flamengo,3,1,Atlético MG,3,,Santos,3,0,Juventude,3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 19,,,,Acertos,,Rodada 20,,,,Acertos,,Rodada 21,,,,Acertos,,,,,,,,,,
Flamengo,2,0,Mirassol,3,,Fluminense,1,0,Fortaleza,4,,Bragantino,1,3,Fluminense,0,,,,,,,,,,
São Paulo,1,0,Vitória,3,,Ceará,2,0,Bragantino,3,,Cruzeiro,2,0,Internacional,3,,,,,,,,,,
Bragantino,2,1,Internacional,0,,Vitória,1,0,Juventude,0,,Grêmio,1,0,Ceará,0,,,,,,,,,,
Fortaleza,1,1,Botafogo,0,,Sport,0,0,São Paulo,3,,Vasco,1,1,Corinthians,0,,,,,,,,,,
Bahia,2,0,Fluminense,0,,Corinthians,1,1,Bahia,0,,Bahia,1,1,Santos,0,,,,,,,,,,
Vasco,1,1,Atlético MG,5,,Santos,2,1,Vasco,0,,Fortaleza,1,1,Mirassol,0,,,,,,,,,,
Palmeiras,2,1,Ceará,5,,Atlético MG,2,1,Grêmio,0,,Juventude,1,0,Botafogo,0,,,,,,,,,,
Cruzeiro,3,0,Santos,0,,Internacional,0,2,Flamengo,4,,São Paulo,2,0,Atlético MG,5,,,,,,,,,,
Grêmio,1,0,Sport,0,,Botafogo,0,1,Palmeiras,5,,Palmeiras,2,1,Sport,3,,,,,,,,,,
Juventude,0,2,Corinthians,0,,Mirassol,2,2,Cruzeiro,3,,Flamengo,3,0,Vitória,3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 22,,,,Acertos,,Rodada 23,,,,Acertos,,Rodada 24,,,,Acertos,,,,,,,,,,
Ceará,1,1,Juventude,0,,Grêmio,2,2,Mirassol,0,,Vitória,1,1,Fluminense,0,,,,,,,,,,
Botafogo,2,0,Bragantino,3,,Fortaleza,2,0,Vitória,5,,Botafogo,2,0,Atlético MG,3,,,,,,,,,,
Cruzeiro,2,1,São Paulo,4,,Palmeiras,2,0,Internacional,3,,Ceará,2,2,Bahia,3,,,,,,,,,,
Flamengo,3,0,Grêmio,0,,Fluminense,1,1,Corinthians,0,,Palmeiras,2,0,Fortaleza,3,,,,,,,,,,
Santos,0,2,Fluminense,0,,Bragantino,1,0,Sport,0,,Mirassol,2,0,Juventude,5,,,,,,,,,,
Corinthians,0,1,Palmeiras,0,,Atlético MG,1,2,Santos,0,,Flamengo,3,0,Vasco,0,,,,,,,,,,
Mirassol,1,1,Bahia,0,,Juventude,0,2,Flamengo,5,,Internacional,0,0,Grêmio,0,,,,,,,,,,
Vitória,0,1,Atlético MG,0,,São Paulo,0,0,Botafogo,0,,Sport,0,1,Corinthians,0,,,,,,,,,,
Internacional,2,0,Fortaleza,3,,Vasco,2,1,Ceará,0,,Santos,0,1,São Paulo,0,,,,,,,,,,
Sport,1,1,Vasco,0,,Bahia,0,2,Cruzeiro,3,,Cruzeiro,2,1,Bragantino,5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 25,,,,Acertos,,Rodada 26,,,,Acertos,,Rodada 27,,,,Acertos,,,,,,,,,,
Fortaleza,1,0,Sport,5,,Atlético MG,2,0,Juventude,0,,Fluminense,2,1,Atlético MG,3,,,,,,,,,,
Vasco,0,2,Cruzeiro,0,,Palmeiras,3,1,Vasco,3,,Bragantino,1,1,Grêmio,0,,,,,,,,,,
Juventude,2,1,Internacional,0,,Mirassol,4,0,Bragantino,0,,Internacional,0,1,Botafogo,0,,,,,,,,,,
Atlético MG,1,2,Mirassol,0,,Sport,0,1,Fluminense,0,,Corinthians,2,1,Mirassol,3,,,,,,,,,,
Grêmio,1,1,Vitória,0,,Internacional,2,2,Corinthians,3,,Vasco,1,0,Vitória,4,,,,,,,,,,
Fluminense,1,0,Botafogo,3,,Botafogo,0,1,Bahia,0,,São Paulo,1,2,Palmeiras,4,,,,,,,,,,
Bahia,1,3,Palmeiras,0,,Santos,1,1,Grêmio,5,,Bahia,0,2,Flamengo,0,,,,,,,,,,
Bragantino,1,2,Santos,0,,Vitória,0,0,Ceará,0,,Juventude,0,0,Fortaleza,0,,,,,,,,,,
Corinthians,0,2,Flamengo,3,,Fortaleza,1,1,São Paulo,0,,Cruzeiro,3,0,Sport,0,,,,,,,,,,
São Paulo,2,0,Ceará,0,,Flamengo,1,1,Cruzeiro,3,,Ceará,1,0,Santos,3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 28,,,,Acertos,,Rodada 29,,,,Acertos,,Rodada 30,,,,Acertos,,,,,,,,,,
