Rodada 1,,,,Acertos,,Rodada 2,,,,Acertos,,Rodada 3,,,,Acertos,,Classificação Kelder,Pontos,PJ,V,E,D,GM,GS,Saldo de Gols
Bragantino,0,2,Flamengo,3,,Palmeiras,2,0,Grêmio,3,,Corinthians,2,1,Fortaleza,0,,,,,,,,,,
Vitória,2,1,Sport,0,,Cruzeiro,3,0,Ceará,0,,Atlético MG,1,1,Bragantino,0,,,,,,,,,,
Juventude ,1,1,São Paulo,0,,São Paulo,1,2,Fluminense,0,,Ceará,1,3,Flamengo,0,,,,,,,,,,
Grêmio,1,1,Botafogo,5,,Bahia,1,0,Juventude,3,,Vitória,0,1,Palmeiras,0,,,,,,,,,,
Vasco,0,0,Bahia,0,,Internacional,1,1,Vasco,5,,Internacional,1,1,São Paulo,0,,,,,,,,,,
Atlético MG,0,0,Fortaleza,3,,Flamengo,4,1,Atlético MG,3,,Santos,2,1,Juventude,3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 19,,,,Acertos,,Rodada 20,,,,Acertos,,Rodada 21,,,,Acertos,,,,,,,,,,
Flamengo,4,1,Mirassol,3,,Fluminense,2,0,Fortaleza,3,,Bragantino,1,1,Fluminense,0,,,,,,,,,,
São Paulo,1,0,Vitória,3,,Ceará,1,1,Bragantino,0,,Cruzeiro,2,1,Internacional,5,,,,,,,,,,
Bragantino,2,0,Internacional,0,,Vitória,2,1,Juventude,0,,Grêmio,1,1,Ceará,3,,,,,,,,,,
Fortaleza,1,1,Botafogo,0,,Sport,1,1,São Paulo,3,,Vasco,1,0,Corinthians,0,,,,,,,,,,
Bahia,2,1,Fluminense,0,,Corinthians,2,1,Bahia,0,,Bahia,2,0,Santos,5,,,,,,,,,,
Vasco,2,0,Atlético MG,0,,Santos,2,1,Vasco,0,,Fortaleza,0,1,Mirassol,5,,,,,,,,,,
Palmeiras,2,1,Ceará,5,,Atlético MG,1,0,Grêmio,0,,Juventude,1,3,Botafogo,5,,,,,,,,,,
Cruzeiro,4,2,Santos,0,,Internacional,0,1,Flamengo,3,,São Paulo,2,1,Atlético MG,3,,,,,,,,,,
Grêmio,1,0,Sport,0,,Botafogo,1,0,Palmeiras,0,,Palmeiras,2,0,Sport,3,,,,,,,,,,
Juventude,0,0,Corinthians,0,,Mirassol,2,3,Cruzeiro,0,,Flamengo,3,0,Vitória,3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 22,,,,Acertos,,Rodada 23,,,,Acertos,,Rodada 24,,,,Acertos,,,,,,,,,,
Ceará,2,0,Juventude,0,,Grêmio,1,2,Mirassol,4,,Vitória,1,1,Fluminense,0,,,,,,,,,,
Botafogo,2,1,Bragantino,3,,Fortaleza,1,0,Vitória,3,,Botafogo,2,1,Atlético MG,4,,,,,,,,,,
Cruzeiro,1,1,São Paulo,0,,Palmeiras,2,0,Internacional,3,,Ceará,1,0,Bahia,0,,,,,,,,,,
Flamengo,3,1,Grêmio,0,,Fluminense,1,1,Corinthians,0,,Palmeiras,3,1,Fortaleza,3,,,,,,,,,,
Santos,2,1,Fluminense,0,,Bragantino,2,1,Sport,0,,Mirassol,2,0,Juventude,5,,,,,,,,,,
Corinthians,1,2,Palmeiras,0,,Atlético MG,1,0,Santos,0,,Flamengo,2,0,Vasco,0,,,,,,,,,,
Mirassol,2,1,Bahia,3,,Juventude,1,3,Flamengo,4,,Internacional,0,0,Grêmio,0,,,,,,,,,,
Vitória,0,1,Atlético MG,0,,São Paulo,1,1,Botafogo,0,,Sport,2,2,Corinthians,0,,,,,,,,,,
Internacional,1,0,Fortaleza,4,,Vasco,0,2,Ceará,0,,Santos,1,2,São Paulo,0,,,,,,,,,,
Sport,1,0,Vasco,0,,Bahia,2,3,Cruzeiro,4,,Cruzeiro,1,1,Bragantino,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 25,,,,Acertos,,Rodada 26,,,,Acertos,,Rodada 27,,,,Acertos,,,,,,,,,,
Fortaleza,2,1,Sport,4,,Atlético MG,1,0,Juventude,0,,Fluminense,1,0,Atlético MG,3,,,,,,,,,,
Vasco,1,2,Cruzeiro,0,,Palmeiras,2,1,Vasco,3,,Bragantino,2,1,Grêmio,4,,,,,,,,,,
Juventude,1,0,Internacional,0,,Mirassol,3,1,Bragantino,0,,Internacional,1,1,Botafogo,0,,,,,,,,,,
Atlético MG,1,2,Mirassol,0,,Sport,2,2,Fluminense,5,,Corinthians,1,2,Mirassol,0,,,,,,,,,,
Grêmio,2,0,Vitória,4,,Internacional,1,0,Corinthians,0,,Vasco,2,0,Vitória,3,,,,,,,,,,
Fluminense,1,3,Botafogo,0,,Botafogo,2,1,Bahia,5,,São Paulo,0,1,Palmeiras,4,,,,,,,,,,
Bahia,1,1,Palmeiras,0,,Santos,1,1,Grêmio,5,,Bahia,1,3,Flamengo,0,,,,,,,,,,
Bragantino,1,0,Santos,0,,Vitória,1,2,Ceará,0,,Juventude,1,1,Fortaleza,0,,,,,,,,,,
Corinthians,0,2,Flamengo,3,,Fortaleza,0,0,São Paulo,0,,Cruzeiro,2,0,Sport,0,,,,,,,,,,
São Paulo,1,1,Ceará,0,,Flamengo,3,1,Cruzeiro,0,,Ceará,2,1,Santos,3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 28,,,,Acertos,,Rodada 29,,,,Acertos,,Rodada 30,,,,Acertos,,,,,,,,,,
Palmeiras,2,1,Bragantino,3,,Corinthians,2,1,Atlético MG,4,,Atlético MG,1,0,Ceará,5,,,,,,,,,,
Botafogo,1,2,Flamengo,3,,Cruzeiro,2,0,Fortaleza,3,,Vitória,1,2,Corinthians,4,,,,,,,,,,
Mirassol,2,0,Internacional,4,,Flamengo,3,1,Palmeiras,3,,Fluminense,2,1,Internacional,4,,,,,,,,,,
