Rodada 1,,,,Acertos,,Rodada 2,,,,Acertos,,Rodada 3,,,,Acertos,,Classificação Gabriel,Pontos,PJ,V,E,D,GM,GS,Saldo de Gols
Juventude,1,1,Corinthians,0,,Mirassol,2,1,Cruzeiro,0,,Flamengo,4,0,Vitória,3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 22,,,,Acertos,,Rodada 23,,,,Acertos,,Rodada 24,,,,Acertos,,,,,,,,,,
Ceará,2,1,Juventude,0,,Grêmio,1,1,Mirassol,0,,Vitória,2,1,Fluminense,0,,,,,,,,,,
Botafogo,1,1,Bragantino,0,,Fortaleza,1,1,Vitória,0,,Botafogo,2,1,Atlético MG,4,,,,,,,,,,
Cruzeiro,2,1,São Paulo,4,,Palmeiras,2,2,Internacional,0,,Ceará,2,1,Bahia,0,,,,,,,,,,
Flamengo,4,0,Grêmio,0,,Fluminense,1,1,Corinthians,0,,Palmeiras,3,0,Fortaleza,4,,,,,,,,,,
Santos,1,1,Fluminense,3,,Bragantino,2,1,Sport,0,,Mirassol,2,0,Juventude,5,,,,,,,,,,
Corinthians,1,1,Palmeiras,5,,Atlético MG,1,1,Santos,5,,Flamengo,2,0,Vasco,0,,,,,,,,,,
Mirassol,2,1,Bahia,3,,Juventude,0,3,Flamengo,3,,Internacional,1,1,Grêmio,0,,,,,,,,,,
Vitória,1,2,Atlético MG,0,,São Paulo,1,0,Botafogo,5,,Sport,0,2,Corinthians,0,,,,,,,,,,
Internacional,1,0,Fortaleza,4,,Vasco,2,1,Ceará,0,,Santos,1,1,São Paulo,0,,,,,,,,,,
Sport,2,1,Vasco,0,,Bahia,1,2,Cruzeiro,5,,Cruzeiro,2,0,Bragantino,3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 25,,,,Acertos,,Rodada 26,,,,Acertos,,Rodada 27,,,,Acertos,,,,,,,,,,
Fortaleza,2,1,Sport,4,,Atlético MG,2,0,Juventude,0,,Fluminense,1,1,Atlético MG,0,,,,,,,,,,
Vasco,1,1,Cruzeiro,0,,Palmeiras,2,1,Vasco,3,,Bragantino,2,1,Grêmio,4,,,,,,,,,,
Juventude,2,2,Internacional,3,,Mirassol,2,0,Bragantino,0,,Internacional,1,0,Botafogo,3,,,,,,,,,,
